Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;39.731,79;39.703,50;39.796,31;39.841,72;40.133,50;40.627,62;40.823,03;40.844,79;;;;
2;39.735,63;39.700,94;39.801,98;39.841,72;40.146,82;40.644,55;40.825,75;40.844,79;;;;
3;39.739,47;39.698,37;39.807,65;39.841,72;40.160,14;40.661,48;40.828,47;40.844,79;;;;
4;39.743,31;39.695,81;39.813,33;39.841,72;40.173,46;40.678,43;40.831,19;40.844,79;;;;
5;39.747,15;39.693,25;39.819,01;39.841,72;40.186,79;40.695,38;40.833,91;40.844,79;;;;
6;39.751,00;39.690,68;39.824,68;39.841,72;40.200,12;40.712,34;40.836,63;40.844,79;;;;
7;39.754,84;39.688,12;39.830,36;39.841,72;40.213,45;40.729,31;40.839,35;40.844,79;;;;
8;39.758,68;39.685,56;39.836,04;39.841,72;40.226,79;40.746,28;40.842,07;40.844,79;;;;
9;39.762,52;39.682,99;39.841,72;39.841,72;40.240,14;40.763,26;40.844,79;40.844,79;;;;
10;39.759,95;39.688,65;39.841,72;39.854,94;40.256,91;40.765,97;40.844,79;;;;;
11;39.757,38;39.694,31;39.841,72;39.868,16;40.273,69;40.768,69;40.844,79;;;;;
12;39.754,82;39.699,97;39.841,72;39.881,38;40.290,47;40.771,41;40.844,79;;;;;
13;39.752,25;39.705,63;39.841,72;39.894,61;40.307,26;40.774,12;40.844,79;;;;;
14;39.749,68;39.711,29;39.841,72;39.907,85;40.324,06;40.776,84;40.844,79;;;;;
15;39.747,12;39.716,95;39.841,72;39.921,09;40.340,86;40.779,55;40.844,79;;;;;
16;39.744,55;39.722,61;39.841,72;39.934,33;40.357,67;40.782,27;40.844,79;;;;;
17;39.741,98;39.728,28;39.841,72;39.947,58;40.374,49;40.784,98;40.844,79;;;;;
18;39.739,42;39.733,94;39.841,72;39.960,83;40.391,32;40.787,70;40.844,79;;;;;
19;39.736,85;39.739,61;39.841,72;39.974,09;40.408,15;40.790,42;40.844,79;;;;;
20;39.734,28;39.745,27;39.841,72;39.987,35;40.424,99;40.793,13;40.844,79;;;;;
21;39.731,72;39.750,94;39.841,72;40.000,61;40.441,84;40.795,85;40.844,79;;;;;
22;39.729,15;39.756,61;39.841,72;40.013,88;40.458,69;40.798,57;40.844,79;;;;;
23;39.726,59;39.762,28;39.841,72;40.027,15;40.475,55;40.801,29;40.844,79;;;;;
24;39.724,02;39.767,95;39.841,72;40.040,43;40.492,42;40.804,00;40.844,79;;;;;
25;39.721,45;39.773,62;39.841,72;40.053,72;40.509,29;40.806,72;40.844,79;;;;;
26;39.718,89;39.779,29;39.841,72;40.067,00;40.526,18;40.809,44;40.844,79;;;;;
27;39.716,32;39.784,96;39.841,72;40.080,29;40.543,07;40.812,16;40.844,79;;;;;
28;39.713,76;39.790,63;39.841,72;40.093,59;40.559,96;40.814,87;40.844,79;;;;;
29;39.711,20;;39.841,72;40.106,89;40.576,86;40.817,59;40.844,79;;;;;
30;39.708,63;;39.841,72;40.120,20;40.593,77;40.820,31;40.844,79;;;;;
31;39.706,07;;39.841,72;;40.610,69;;40.844,79;;;;;
